country,state,sales,profit
Dominican Republic,Santiago,12875,-1489.81692
New Zealand,Gisborne,1435,-1481.04
Nigeria,Abia,1063,-1475.556
Argentina,Córdoba,3212,-1471.4288
Brazil,Alagoas,6610,-1449.6258
Kazakhstan,Qaraghandy,938,-1398.129
Turkey,Mardin,1653,-1397.94
Sweden,Västra Götaland,3692,-1396.92
Nigeria,Borno,778,-1332.489
Turkey,Batman,1190,-1323.468
Argentina,Chaco,3756,-1305.4816
Philippines,Cordillera,5741,-1302.249
Nigeria,Plateau,779,-1282.53
Turkey,Kayseri,1754,-1194.138
United States,Oregon,17431,-1190.4705
Denmark,South Denmark,3143,-1163.739
Turkmenistan,Lebap,646,-1161.162
Pakistan,Baluchistan,1900,-1132.1399999999999
Venezuela,Lara,1443,-1072.664
Venezuela,Miranda,2252,-1057.0606
Argentina,San Luis,2797,-1056.056
Kazakhstan,Astana,657,-1051.698
Turkey,Tekirdag,1160,-1040.574
Sweden,Skåne,2237,-1021.08
Turkey,Kirsehir,1145,-1010.52
Venezuela,Zulia,4212,-994.1430399999999
Nigeria,Bauchi,632,-980.2139999999999
Venezuela,Anzoátegui,1563,-971.8639999999999
Japan,Gunma,3566,-950.4449999999999
Nigeria,Anambra,701,-945.834
Turkey,Hatay,1027,-909.282
Turkey,Manisa,1148,-906.504
Turkey,Eskisehir,935,-889.224
Kazakhstan,Almaty City,592,-875.244
New Zealand,Nelson,2860,-862.71
Turkey,Trabzon,1312,-852.42
Turkey,Denizli,1103,-850.284
Turkey,Aydin,1165,-850.164
Kazakhstan,Qostanay,652,-819.903
Nigeria,Niger,443,-809.127
Portugal,Coimbra,1896,-806.85
Turkey,Konya,944,-793.176
Brazil,Maranhão,16873,-778.4120399999999
Portugal,Porto,1565,-777.75
Argentina,San Juan,2094,-768.30288
Sweden,Uppsala,1341,-760.08
South Korea,Gyeongsangnam,2481,-752.937
Kazakhstan,Aqmola,530,-743.76
Indonesia,Riau,5983,-719.3078999999999
Turkey,Igdir,975,-708.6719999999999
Dominican Republic,Duarte,5594,-707.57732
United Arab Emirates,Ra's Al Khaymah,533,-704.148
Nigeria,Imo,617,-675.567
Nigeria,Yobe,516,-660.06
Turkey,Kahramanmaras,833,-655.362
Turkey,Diyarbakir,788,-633.6659999999999
Peru,Ucayali,1432,-628.42412
Turkey,Bingol,938,-591.9839999999999
Yemen,Ibb,355,-590.976
Turkey,Van,719,-590.49
Honduras,Yoro,1873,-585.71744
Turkey,Sanliurfa,591,-583.404
Nigeria,Ogun,374,-562.689
Uganda,Gulu,366,-511.07399999999996
Venezuela,Aragua,1851,-498.00784
Venezuela,Guárico,920,-497.3546
Argentina,Chubut,1285,-492.95000000000005
Turkey,Osmaniye,488,-489.324
Peru,Ica,1006,-485.8288
Netherlands,Drenthe,1838,-473.55
Nigeria,Akwa Ibom,281,-473.157
Nigeria,Osun,247,-466.809
Vietnam,Khánh Hòa,1234,-452.54939999999993
Philippines,Western Visayas,3466,-451.96799999999996
Turkey,Bolu,491,-451.836
Turkey,Corum,487,-450.924
Turkey,Kocaeli,726,-448.90200000000004
South Korea,Ulsan,743,-436.881
Portugal,Braga,461,-431.28
Nigeria,Ondo,280,-427.095
Venezuela,Yaracuy,909,-424.29740000000004
Argentina,Corrientes,946,-423.13112
Papua New Guinea,National Capital,2928,-418.605
Turkey,Elazig,523,-418.45799999999997
New Zealand,Otago,2676,-411.594
Nigeria,Katsina,232,-404.262
Turkey,Malatya,531,-403.48199999999997
Haiti,Artibonite,1427,-386.30664
Turkey,Nevsehir,321,-385.55400000000003
Italy,Sardinia,4092,-376.45799999999997
Kazakhstan,Almaty,201,-372.26099999999997
Turkey,Sivas,675,-361.956
Argentina,Mendoza,2222,-346.89799999999997
Turkey,Adiyaman,502,-346.86
Portugal,Aveiro,341,-341.475
Turkey,Canakkale,331,-336.558
United Arab Emirates,'Ajman,209,-332.71200000000005
Venezuela,Portuguesa,914,-300.848
Nigeria,Adamawa,186,-289.029
Turkmenistan,Mary,245,-282.093
Turkey,Erzurum,342,-275.904
Netherlands,Friesland,491,-275.75100000000003
South Korea,Daegu,1775,-271.146
Turkey,Amasya,252,-267.912
Tajikistan,Khatlon,242,-262.866
Sweden,Halland,836,-262.79999999999995
Peru,Moquegua,288,-259.08
Turkey,Samsun,399,-251.472
Dominican Republic,Peravia,706,-249.064
Argentina,Río Negro,410,-245.936
Denmark,Zealand,243,-245.043
Turkey,Nigde,214,-227.79
Peru,Loreto,439,-221.68
Turkey,Kars,332,-204.0
Argentina,La Rioja,355,-201.42
Panama,Colón,2976,-201.172
Nigeria,Zamfara,136,-191.028
Venezuela,Bolivar,1430,-186.204
Turkey,Siirt,206,-184.962
Thailand,Nakhon Ratchasima,1003,-183.2973
Pakistan,Khyber Pakhtunkhwa,2010,-181.95000000000002
Yemen,Al Hudaydah,79,-177.255
Zimbabwe,Mashonaland West,104,-173.976
Brazil,Pernambuco,18229,-170.88988000000012
Lithuania,Klaipeda,121,-164.892
Lithuania,Šiauliai,97,-164.739
Peru,Puno,343,-162.36
Ireland,Galway,239,-162.3
Uganda,Jinja,103,-155.96699999999998
Turkey,Isparta,104,-145.464
Japan,Ibaraki,1594,-143.53500000000003
Vietnam,Dà Nang,3814,-140.18310000000002
Dominican Republic,La Vega,2689,-139.06856
Peru,Junín,863,-138.48
Nigeria,Sokoto,86,-137.337
Turkey,Aksaray,109,-136.374
Sweden,Värmland,514,-136.026
Sweden,Södermanland,283,-136.02
Turkey,Kilis,118,-135.126
Argentina,Misiones,306,-128.14000000000001
Turkey,Tokat,156,-113.412
Dominican Republic,Espaillat,1038,-110.77692000000002
Netherlands,Zeeland,208,-100.17
Ireland,South Dublin,335,-99.36
Peru,Arequipa,693,-97.656
Argentina,Jujuy,316,-97.552
Argentina,Salta,234,-90.738
Venezuela,Nueva Esparta,270,-87.38
Brazil,Mato Grosso,3569,-86.57768000000009
Argentina,La Pampa,230,-85.556
Indonesia,Papua,2757,-84.9567
Italy,Basilicata,178,-81.08399999999999
Dominican Republic,San Juan,4082,-79.81908000000007
Argentina,Entre Ríos,377,-76.6376
Turkey,Düzce,66,-75.504
Turkey,Sirnak,109,-73.746
Colombia,Valle del Cauca,1428,-73.42
Peru,Piura,353,-73.17999999999999
Dominican Republic,Monseñor Nouel,160,-72.816
Nigeria,Abuja Capital Territory,38,-67.614
Peru,Ancash,268,-64.152
Venezuela,Vargas,535,-62.964
Dominican Republic,La Romana,7604,-61.20383999999999
Indonesia,Kalimantan Selatan,536,-59.6766
Venezuela,Sucre,173,-58.612
Nigeria,Ebonyi,34,-57.233999999999995
Turkey,Ordu,125,-55.158
Indonesia,Aceh,338,-49.6743
Tanzania,Iringa,462,-46.332
Indonesia,Nusa Tenggara Barat,5011,-45.02190000000001
Turkey,Yalova,35,-42.75
Nigeria,Gombe,48,-42.165
South Korea,South Chungcheong,47,-42.12
Italy,Lombardy,35024,-41.32199999999982
Turkey,Usak,47,-39.0
Venezuela,Mérida,61,-38.64
Peru,Callao,163,-36.152
Argentina,Santiago del Estero,484,-34.337999999999994
Colombia,Magdalena,3110,-32.963840000000005
Denmark,Central Jutland,34,-29.502
Kazakhstan,Zhambyl,22,-28.59
Argentina,Catamarca,46,-27.36
Argentina,Neuquén,509,-26.144000000000002
Turkey,Karaman,51,-25.83
South Korea,Jeju,622,-22.32
Peru,Cajamarca,175,-21.912000000000003
Turkey,Edirne,19,-20.862
Spain,Extremadura,229,-20.352
Turkey,Afyonkarahisar,42,-19.296
Turkey,Kastamonu,26,-18.084
South Korea,Gangwon,22,-16.59
Turkey,Rize,19,-15.762
Peru,La Libertad,97,-14.624
Zimbabwe,Manicaland,12,-13.857
Tanzania,Ruvuma,273,-12.204
Portugal,Setúbal,182,-11.025
Turkey,Ardahan,36,-10.776
Peru,Lambayeque,32,-8.424
Bolivia,Tarija,1858,-7.015999999999991
Vietnam,Ho Chí Minh City,43263,-5.757600000000213
Uganda,Kabarole,4,-5.487
Zimbabwe,Matabeleland North,3,-5.325
Vietnam,Tỉnh Cần Thơ,1983,-4.410299999999992
Venezuela,Cojedes,114,-3.34
Peru,Ayacucho,609,-1.3160000000000003
Venezuela,Táchira,33,-0.54
Colombia,Córdoba,22,0.0
Togo,Kara,34,0.96
Peru,Lima,64,1.04
Croatia,Osjecko-Baranjska,25,1.26
Ghana,Eastern,77,1.5
Colombia,Casanare,23,1.86
Iraq,Diyala,143,3.7199999999999998
Mozambique,Inhambane,23,4.41
Indonesia,Maluku,155,4.4955
Macedonia,Bitola,11,4.5
Japan,Nagano,31,5.34
Russia,Kabardino-Balkariya,74,5.46
Egypt,Kafr Ash Shaykh,129,5.609999999999999
Zambia,Central,97,5.9399999999999995
Albania,Korçë,77,6.63
Bulgaria,Pernik,15,6.66
Mozambique,Cabo Delgado,88,7.32
Venezuela,Monagas,507,7.753120000000001
Sierra Leone,Northern,100,7.890000000000001
Romania,Vrancea,34,8.16
Russia,Novgorod,413,8.25
Morocco,Guelmim-Es Semara,38,8.82
Canada,Newfoundland,103,9.24
Finland,Kymenlaakso,234,9.72
Algeria,Medea,123,9.72
Romania,Caras-Severin,29,10.08
Egypt,Matruh,60,10.200000000000001
China,Ningxia,130,10.620000000000001
Japan,Aomori,59,11.07
Japan,Okayama,146,11.64
Liberia,Grand Gedeh,49,11.85
Benin,Mono,44,12.6
Bahrain,Muharraq,669,12.84
Japan,Tottori,27,13.68
Bulgaria,Pleven,56,14.1
Algeria,Tlemcen,84,14.1
Libya,Al Marqab,68,14.25
Iran,Semnan,49,14.67
Romania,Arges,118,14.91
Madagascar,Atsinanana,97,15.239999999999998
Czech Republic,Olomouc,230,15.96
Mozambique,Tete,73,16.35
Uruguay,Rivera,60,16.6
Iran,South Khorasan,66,17.700000000000003
Angola,Namibe,63,17.91
Slovakia,Banská Bystrica,63,18.78
Slovakia,Žilina,60,18.84
Switzerland,St. Gallen,62,18.93
Tanzania,Morogoro,160,20.13
Hungary,Hajdu-Bihar,528,20.22
Romania,Suceava,62,21.09
Benin,Atlantique,71,21.36
Colombia,Meta,83,21.52
Russia,Novosibirsk,54,21.66
Bulgaria,Pazardzhik,193,22.32
Bulgaria,Stara Zagora,59,22.35
Czech Republic,Liberec,134,23.82
Tanzania,Tabora,81,24.0
Benin,Borgou,364,24.779999999999998
Albania,Durrës,612,25.56
Jordan,Irbid,158,25.71
Niger,Diffa,113,26.76
Ghana,Central,93,27.450000000000003
Algeria,Bechar,150,27.93
Iran,Ilam,91,29.220000000000002
Syria,Ar Raqqah,101,29.28
Romania,Arad,170,30.54
Spain,Melilla,145,32.46
Mexico,Baja California Sur,594,33.72
Benin,Alibori,269,33.839999999999996
Togo,Centrale,280,34.8
Cameroon,Extreme-Nord,127,35.64
Croatia,Splitsko-Dalmatinska,145,35.91
Romania,Mehedinti,418,36.03
Madagascar,Atsimo-Andrefana,78,36.36
Ecuador,Los Rios,973,36.93048
Romania,Giurgiu,254,37.29
Angola,Malanje,137,37.769999999999996
Macedonia,Kumanovo,199,38.88
Egypt,Al Minufiyah,311,40.44
Tanzania,Pwani,257,40.74
Canada,Nova Scotia,382,40.8
South Africa,Mpumalanga,156,41.7
Algeria,Tizi Ouzou,199,42.0
Tanzania,Mtwara,251,43.83
Czech Republic,Moravian-Silesian,304,43.98
Equatorial Guinea,Litoral,150,44.46
Madagascar,Haute-Matsiatra,206,48.839999999999996
Tanzania,Mara,317,51.023999999999994
Romania,Dolj,190,54.629999999999995
Russia,Yevrey,244,56.1
Zambia,Northern,157,59.19
Mali,Mopti,289,59.91
Romania,Gorj,570,60.269999999999996
Chile,Tarapacá,189,61.82
Democratic Republic of the Congo,Bas-Congo,337,62.970000000000006
Ukraine,Ternopil',515,65.37
Egypt,Qina,466,65.85
Norway,Hedmark,270,65.88
Algeria,Mostaganem,439,67.5
Belgium,Liège,484,68.19
Romania,Bistrita-Nasaud,246,68.88
Armenia,Lori,156,69.09
Israel,Central,536,69.3
Ecuador,Manabi,726,70.592
Cameroon,Sud-Ouest,389,73.59
Czech Republic,Usti nad Labem,290,74.75999999999999
Romania,Hunedoara,218,74.75999999999999
Eritrea,Anseba,188,76.2
Cote d'Ivoire,Haut-Sassandra,2196,76.29
Slovakia,Nitra,743,77.64
Morocco,Taza-Al Hoceima-Taounate,413,77.67
Tanzania,Mwanza,2529,81.46800000000002
Cameroon,Adamaoua,773,81.75
Egypt,Asyut,337,83.25
Cote d'Ivoire,Savanes,239,83.46
Egypt,Al Buhayrah,711,83.61
Tanzania,Kilimanjaro,496,84.12
Sri Lanka,Western,852,86.37
Swaziland,Manzini,288,86.75999999999999
Chile,Atacama,882,88.88
Chad,Mandoul,1317,90.0
Uzbekistan,Jizzakh,502,90.36
Iraq,Dhi Qar,531,90.48
Japan,Fukui,620,91.77
Chile,Arica y Parinacota,406,93.9
Iran,Qazvin,1129,95.67
Indonesia,Sumatera Selatan,11984,95.68229999999998
Rwanda,Southern,441,97.59
Algeria,Sidi Bel Abbes,569,98.67
United States,Wyoming,1603,100.196
Brazil,Rondônia,559,103.04831999999999
Burundi,Bujumbura-Mairie,268,103.08
Japan,Hokkaido,558,104.37
Romania,Maramures,478,105.96
Ukraine,Ivano-Frankivsk,661,107.82
Bulgaria,Sliven,484,109.14
Algeria,Tipaza,679,109.94999999999999
Bulgaria,Burgas,709,113.31
Croatia,Primorsko-Goranska,381,113.63999999999999
Bolivia,Beni,702,114.566
Somalia,Jubbada Hoose,353,116.43
Uzbekistan,Andijan,569,117.09
Syria,Dayr Az Zawr,1573,118.23599999999999
Egypt,Bur Sa'id,513,118.62
Niger,Zinder,362,122.28
Angola,Bie,885,123.48
Cameroon,Nord-Ouest,1087,123.66000000000001
Zambia,Southern,635,123.84
Romania,Sibiu,1090,123.96
Bangladesh,Sylhet,1314,124.59
Albania,Shkodër,594,127.56
Mozambique,Manica,431,128.1
Colombia,Cesar,680,129.19464
South Africa,Limpopo,452,129.33
Moldova,Balti,628,130.77
Mexico,Guerrero,4760,131.33864
Guinea,Nzérékoré,1223,131.51999999999998
Senegal,Ziguinchor,618,132.36
Estonia,Tartumaa,384,133.56
Dominican Republic,San Cristóbal,544,133.74112
Iran,Bushehr,768,134.31
Madagascar,Diana,589,137.13
Ukraine,Rivne,428,139.29000000000002
Italy,Umbria,1982,142.33800000000002
Paraguay,Asunción,503,142.82
Bolivia,La Paz,880,143.36
Uzbekistan,Khorezm,1124,146.1
Czech Republic,Hradec Kralove,1343,147.24
Cote d'Ivoire,Dix-Huit Montagnes,743,147.32999999999998
Afghanistan,Nangarhar,1159,147.36
Russia,Ivanovo,1788,148.41
Uruguay,Canelones,575,148.68
South Africa,Free State,420,149.1
Philippines,Northern Mindanao,2341,149.3595
Ecuador,Azuay,881,150.88
Egypt,Ash Sharqiyah,760,151.05
Algeria,Skikda,635,153.39000000000001
Benin,Donga,906,154.77
Ghana,Northern,1222,154.98
Romania,Braila,428,156.12
Colombia,Nariño,579,158.24
Iran,Yazd,571,162.39000000000001
Japan,Tochigi,384,164.34
Morocco,Gharb-Chrarda-Béni Hssen,493,166.41
Indonesia,Bengkulu,534,167.2065
Angola,Huila,653,169.68
Russia,Moscow,631,170.73000000000002
Mexico,Zacatecas,1467,176.43200000000002
Kenya,Nyanza,984,185.22
Cameroon,Sud,513,185.39999999999998
United States,West Virginia,1209,185.9216
South Sudan,Central Equatoria,1045,186.36
Russia,Tambov,550,186.93
Sudan,Kassala,656,192.69
Sierra Leone,Southern,1078,192.72
Kenya,Eastern,968,193.44
Brazil,Acre,702,193.9
India,Chandigarh,493,193.95
Poland,Lubusz,555,195.18
Sudan,White Nile,784,195.3
Romania,Prahova,2068,197.16
Romania,Mures,1851,199.35
Colombia,Caquetá,641,204.00268
Cameroon,Littoral,847,204.3
Togo,Plateaux,582,207.51
Ukraine,Cherkasy,1009,212.55
Bolivia,Oruro,1695,216.38
Iran,Golestan,1003,217.53000000000003
Poland,Podlaskie,1043,218.19
Cote d'Ivoire,Fromager,1341,218.28
Spain,Cantabria,3373,220.88100000000003
Morocco,Chaouia-Ouardigha,1072,225.54
India,Tripura,646,227.57999999999998
Russia,Belgorod,1165,228.9
Colombia,Huila,635,229.5704
Bulgaria,Yambol,639,229.98
United States,North Dakota,920,230.14969999999997
Zambia,Eastern,765,232.68
Algeria,Bejaia,632,233.34000000000003
Mexico,Oaxaca,608,234.44
Uzbekistan,Qashqadaryo,874,239.82
Cote d'Ivoire,Lacs,1647,240.60000000000002
Brazil,Roraima,1385,241.23736
Italy,Friuli-Venezia Giulia,1056,242.46
Tanzania,Tanga,518,243.42
Indonesia,Kalimantan Barat,1398,244.2831
Romania,Iasi,1822,244.76999999999998
Colombia,Bolívar,2821,246.80792
Benin,Atakora,573,248.49
Indonesia,Bali,6841,249.77309999999994
Democratic Republic of the Congo,Maniema,859,249.81
Romania,Brasov,2768,256.59
Chile,Los Lagos,3432,257.34000000000003
Albania,Elbasan,1619,258.9
Iraq,Salah Ad Din,678,260.58
Cameroon,Est,1345,265.74
Chile,Magallanes y Antártica Chilena,1388,266.14
Sierra Leone,Eastern,1271,271.14
Belgium,Brussels,1050,272.01
Paraguay,Central,2088,272.40752
Bulgaria,Vratsa,732,273.06
Algeria,Laghouat,799,275.31
Mali,Kayes,791,275.82
Romania,Cluj,1273,279.0
Bulgaria,Shumen,1273,279.96
Romania,Buzau,2470,280.29
Egypt,Bani Suwayf,1680,280.44
Republic of the Congo,Niari,2714,280.74
Italy,Calabria,1094,284.43
Ukraine,Kherson,1163,284.64
Belarus,Vitsyebsk,980,285.03
Uzbekistan,Namangan,1895,286.71
Ukraine,Sumy,1925,288.84000000000003
Kenya,Central,840,289.11
Ethiopia,Dire Dawa,850,290.15999999999997
Albania,Vlorë,986,290.67
Mozambique,Niassa,971,293.90999999999997
Kyrgyzstan,Osh,917,296.52
Indonesia,Sumatera Utara,39576,299.49389999999994
Switzerland,Bern,1136,301.98
Japan,Nagasaki,4125,304.62
China,Hubei,26641,309.45000000000005
Saudi Arabia,'Asir,1604,310.65
Mali,Sikasso,1094,317.16
Sudan,Gezira,2422,317.94
Algeria,Djelfa,1518,319.29
Romania,Bihor,1032,322.59000000000003
Indonesia,Sumatera Barat,5514,323.40930000000003
Afghanistan,Hirat,1696,324.72
Ukraine,Mykolayiv,1576,328.62
Tanzania,Arusha,1426,330.948
Guinea,Kindia,1105,333.3
Bulgaria,Plovdiv,900,335.67
Croatia,Zagrebacka,825,338.34
Algeria,Constantine,1573,339.6
Democratic Republic of the Congo,Bandundu,1612,341.76
Japan,Kagawa,2432,341.77200000000005
Colombia,Boyacá,1351,342.286
Morocco,Souss-Massa-Draâ,1582,346.74
Benin,Ouémé,2130,347.82
Brazil,Sergipe,1575,348.36
Saudi Arabia,Al Jawf,3165,348.84
India,Manipur,5430,354.42
Japan,Fukuoka,1464,355.23
Colombia,Arauca,1537,358.03012
Brazil,Piauí,1359,358.57076
Japan,Aichi,1598,360.81
Chile,Antofagasta,1083,361.10031999999995
Egypt,Al Fayyum,1163,364.47
Ukraine,Khmel'nyts'kyy,2005,365.13
Belgium,West Flanders,1650,369.69
Democratic Republic of the Congo,South Kivu,1586,372.71999999999997
Germany,Saarland,2559,375.342
Russia,Stavropol',2244,375.6
Iran,Hormozgan,1051,377.94
Ukraine,Kirovohrad,3072,384.24
Mozambique,Zambezia,1750,385.11
Egypt,Al Bahr Al Ahmar,2586,387.03
Mexico,Campeche,3959,387.4184
Czech Republic,Plzen,1335,391.38
Democratic Republic of the Congo,Orientale,1974,392.04
Romania,Satu Mare,1118,392.58000000000004
Somalia,Woqooyi Galbeed,4330,392.96999999999997
Iran,Kerman,3837,393.57
United States,South Dakota,1317,394.8283
Belgium,Flemish Brabant,1643,395.37
Poland,Lesser Poland,1355,400.40999999999997
Tanzania,Mbeya,1347,400.59
Bolivia,Cochabamba,1184,401.24
Colombia,Caldas,2244,404.57516
Canada,Saskatchewan,1957,404.91
Algeria,Batna,1972,406.89
Guinea-Bissau,Bissau,2065,411.39
El Salvador,Cuscatlán,1433,411.5
Tanzania,Shinyanga,2029,411.639
Bolivia,Potosí,1558,411.76
Senegal,Thies,2104,418.23
Italy,Marche,1926,418.428
Switzerland,Vaud,1787,422.49
Bolivia,Chuquisaca,1471,423.32
Norway,Buskerud,911,423.96000000000004
Russia,Bryansk,2366,424.32
Lebanon,North Lebanon,1201,428.22
Brazil,Tocantins,3896,430.14
France,Corsica,1276,433.047
Algeria,Annaba,2922,445.35
Australia,Tasmania,30385,452.41499999999996
Romania,Constanta,1839,453.87
United States,Maine,1270,454.4862
India,Puducherry,2936,455.94
Romania,Valcea,1401,457.92
Finland,Finland Proper,2475,463.35
Central African Republic,Bangui,2376,468.53999999999996
Indonesia,Kalimantan Timur,16008,471.60479999999995
Georgia,Imereti,2163,475.26
Guadeloupe,Guadeloupe,1462,476.2
Colombia,Risaralda,1900,478.98
Gabon,Estuaire,1752,479.67
Lebanon,Beirut,1596,480.17999999999995
Malaysia,Sarawak,2045,480.39
Cameroon,Nord,1934,481.11
Algeria,Guelma,3666,482.34000000000003
Spain,Ceuta,2589,484.506
Guinea,Kankan,1170,486.42
Romania,Neamt,2875,492.65999999999997
Cameroon,Ouest,3186,494.01
Somalia,Banaadir,3502,495.87
Mexico,Hidalgo,2178,496.04
Nicaragua,Granada,2365,496.27711999999997
Niger,Maradi,1648,497.28000000000003
Japan,Saga,1137,499.43999999999994
Colombia,Chocó,1187,503.98591999999996
Benin,Littoral,1858,505.53
Austria,Salzburg,1685,506.88
Italy,Campania,25533,507.80100000000004
Trinidad and Tobago,Chaguanas,1964,508.94903999999997
Poland,Opole,1671,509.01
Dominican Republic,Barahona,4119,513.51
Iran,Zanjan,3423,518.16
Bolivia,Santa Cruz,2241,525.74
Brazil,Espírito Santo,4252,527.48
Iraq,Babil,2010,528.99
Philippines,Central Luzon,6238,531.087
Syria,Hims,3635,545.6940000000001
Indonesia,Sulawesi Utara,3668,548.9727
Chile,Valparaíso,2057,551.16
Madagascar,Boeny,2044,553.02
Kenya,Rift Valley,3110,568.8000000000001
Indonesia,Yogyakarta,20843,570.7314
Norway,Vest-Agder,1786,571.23
Togo,Maritime,3254,573.6
Ukraine,Chernihiv,2794,576.6
Afghanistan,Kandahar,1868,577.53
Bulgaria,Varna,2392,578.13
Hungary,Bekes,1429,579.3000000000001
Slovenia,Ljubljana,1469,590.04
Tunisia,Tunis,1762,602.0999999999999
Switzerland,Geneva,1865,608.79
Morocco,Doukkala-Abda,2272,618.09
Ukraine,Sevastopol',1569,622.56
Romania,Botosani,2260,628.83
Malaysia,Trengganu,1885,629.82
Colombia,Cundinamarca,3770,633.08
France,Franche-Comté,2946,635.889
Colombia,Tolima,2168,636.18
Egypt,Al Minya,2968,643.98
Norway,Rogaland,2905,652.38
Iran,Markazi,2555,653.7
Uruguay,Montevideo,5607,655.9440000000001
Hungary,Gyor,4826,658.95
Democratic Republic of the Congo,Equateur,2240,659.7
Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,2600,660.1800000000001
Canada,Manitoba,2017,662.4599999999999
Saudi Arabia,Ash Sharqiyah,3523,672.03
Libya,Banghazi,3826,673.83
Russia,Kaluga,2632,676.56
Chile,O'Higgins,4002,680.92
Italy,Liguria,6837,686.7719999999999
Ukraine,Luhans'k,3039,687.69
Japan,Hiroshima,2662,690.84
Israel,Jerusalem,3577,702.75
Saudi Arabia,Al Madinah,4619,707.4300000000001
Indonesia,Nusa Tenggara Timur,4207,714.2631
Vietnam,Kiên Giang,4456,724.2456
Cuba,Isla de la Juventud,2604,730.92
Namibia,Khomas,2899,736.9499999999999
Israel,Haifa,3028,740.34
Indonesia,Jambi,3504,740.6739000000001
South Africa,North-West,2353,745.0200000000001
Poland,Greater Poland,4224,745.29
Romania,Galati,3377,754.14
Belarus,Homyel',2215,761.5500000000001
Uzbekistan,Surxondaryo,2366,768.06
Indonesia,Sulawesi Tenggara,9815,775.398
Iran,Ardabil,4603,776.9699999999999
China,Jiangxi,3362,783.87
